Rank,Name,Team,Yr,Pos,G,Att,Comp,Pct.,Yards,Yards/Att,TD,Int,Rating,Att/G,Yards/G
1,Brock Purdy,Iowa State,SR,QB,13,407,292,71.7,3188,7.8,19,8,149.01,31.3,245.2
2,Jarret Doege,WVU,SR,QB,13,417,272,65.2,3048,7.3,19,12,135.9,32.1,234.5
3,Spencer Sanders,Okla St,JR,QB,13,392,243,62,2831,7.2,20,12,133.37,30.2,217.8
4,Skylar Thompson,Kansas St,SR,QB,10,233,162,69.5,2113,9.1,12,4,159.28,23.3,211.3
5,Max Duggan,TCU,JR,QB,10,227,145,63.9,2048,9,16,6,157.63,22.7,204.8
6,Gerry Bohanon,Baylor,JR,QB,12,276,173,62.7,2194,7.9,18,7,145.9,23,182.8
7,Casey Thompson,Texas,JR,QB,12,261,165,63.2,2113,8.1,24,9,154.67,21.8,176.1
8,Caleb Williams,Oklahoma,FR,QB,11,211,136,64.5,1912,9.1,21,4,169.63,19.2,173.8
9,Jason Bean,Kansas,JR,QB,11,182,102,56,1252,6.9,6,6,118.11,16.5,113.8
10,Donovan Smith,Texas Tech,FR,QB,11,140,86,61.4,1188,8.5,7,2,146.35,12.7,108
11,Garrett Greene,WVU,FR,QB,11,26,16,61.5,147,5.7,0,0,109.03,2.4,13.4
12,Xavier Hutchinson,Iowa State,SR,WR,13,1,1,100,49,49,1,0,841.6,0.1,3.8
13,Mario Williams,Oklahoma,FR,WR,12,1,1,100,10,10,0,0,184,0.1,0.8
14,Taye Barber,TCU,SR,WR,12,2,1,50,7,3.5,0,0,79.4,0.2,0.6
15,Tyquan Thornton,Baylor,SR,WR,14,1,1,100,6,6,1,0,480.4,0.1,0.4
15,Brennan Presley,Okla St,SO,WR,14,2,1,50,6,3,0,0,75.2,0.1,0.4
17,Roschon Johnson,Texas,JR,RB,12,1,1,100,2,2,0,0,116.8,0.1,0.2
18,Trevor Wilson,Kansas,SO,WR,12,1,0,0,0,0,0,0,0,0.1,0
18,Kaylon Geiger Sr.,Texas Tech,SR,WR,13,2,0,0,0,0,0,1,-100,0.2,0
